shopper_number,shop_name,allow_self_checkout,allow_pay_later
+919999999999,MyGrocery Store,TRUE,FALSE
+918787878787,MyGrocery Store,TRUE,FALSE
+918888888888,MyGrocery Store,TRUE,FALSE
+917878787878,MyGrocery Store,TRUE,FALSE
+916778677888,MyGrocery Store,TRUE,FALSE
+916589674589,MyGrocery Store,TRUE,FALSE
+914566734569,MyGrocery Store,TRUE,FALSE
+913434567879,MyGrocery Store,TRUE,FALSE
+919999999999,A2Z,TRUE,FALSE
+918787878787,A2Z,TRUE,FALSE
+918888888888,A2Z,FALSE,FALSE
+917878787878,BM,FALSE,FALSE
+916778677888,BM,FALSE,FALSE
+914566734569,A2Z,FALSE,FALSE
+913434567879,A2Z,TRUE,FALSE
+919999999999,Daily Needs,TRUE,FALSE
+918787878787,Daily Needs,TRUE,FALSE
+918888888888,Daily Needs,TRUE,FALSE
+917878787878,Daily Needs,TRUE,FALSE
+916778677888,Daily Needs,TRUE,FALSE
+916589674589,Daily Needs,TRUE,FALSE
+914566734569,Daily Needs,TRUE,FALSE
+913434567879,Daily Needs,TRUE,FALSE
+918888888888,BM,FALSE,FALSE
+916589674589,BM,TRUE,FALSE
